index,lat,lon,timestamp,amenity,tags,name,num_tags
0,49.2819978,-123.124346,2021-11-26T01:52:50.000-08:00,cinema,"{'brand:wikidata': 'Q2972807', 'addr:province': 'BC', 'wheelchair': 'yes', 'website': 'https://www.cineplex.com/Theatre/scotiabank-theatre-vancouver', 'payment:credit_cards': 'yes', 'brand:wikipedia': 'en:Cineplex Entertainment', 'opening_hours:covid19': 'closed', 'addr:postcode': 'V6Z 3G5', 'operator': 'Cineplex', 'addr:city': 'Vancouver', 'toilets:wheelchair': 'yes', 'addr:housenumber': '900', 'phone': '+1-604-630-1407', 'opening_hours': 'Mo-Sa 10:00-18:00+; Su 11:00-18:00+', 'is_in:city': 'Vancouver', 'addr:street': 'Burrard Street', 'payment:debit_cards': 'yes', 'wikidata': 'Q38378292', 'brand': 'Cineplex'}",Scotiabank Theatre Vancouver,19.0
2,49.2824825,-123.1214006,2019-09-18T23:00:49.000-07:00,university,"{'wheelchair': 'yes', 'website': 'https://robsonsquare.ubc.ca/', 'internet_access': 'yes', 'level': '-1;-2', 'internet_access:fee': 'no', 'addr:postcode': 'V6Z 3B7', 'operator': 'University of British Columbia', 'addr:city': 'Vancouver', 'addr:housenumber': '800', 'phone': '+1-604-822-3333', 'opening_hours': 'Mo-Fr 07:00-22:00; Sa-Su 08:00-17:00', 'internet_access:ssid': 'ubcvisitor', 'addr:street': 'Robson Street'}",UBC Robson Square,13.0
3,49.0401897,-122.2757666,2020-12-11T16:12:05.000-08:00,social_facility,"{'website': 'http://wood-knot.com', 'shop': 'doityourself', 'social_facility:for': 'disabled', 'addr:postcode': 'V2S 2C6', 'building': 'commercial', 'addr:unit': '8', 'addr:housenumber': '34220', 'phone': '+1-604-744-0400', 'second_hand': 'only', 'opening_hours': 'Mo-Fr 09:00-17:00; Sa 09:00-16:00; Su off', 'addr:street': 'South Fraser Way', 'social_facility': 'workshop'}",Wood-Knot,12.0
4,49.0582354,-122.378087,2021-11-04T01:47:15.000-07:00,cinema,"{'brand:wikidata': 'Q2972807', 'website': 'https://www.cineplex.com/Theatre/cineplex-cinemas-abbotsford-and-vip', 'level': '2', 'brand:wikipedia': 'en:Cineplex Entertainment', 'operator': 'Cineplex', 'layer': '2', 'addr:unit': 'J200', 'addr:housenumber': '3122', 'phone': '+1-604-504-9701', 'is_in:city': 'Abbotsford', 'addr:street': 'Mount Lehman Road', 'brand': 'Cineplex'}",Cineplex Cinemas Abbotsford and VIP,12.0
5,49.2349807,-123.168065,2020-10-21T16:39:13.000-07:00,social_facility,"{'addr:province': 'BC', 'wheelchair': 'yes', 'operator:type': 'private', 'website': 'https://reveraliving.com/', 'addr:housenumber': '2803', 'social_facility:for': 'senior', 'addr:street': 'West 41st Avenue', 'addr:postcode': 'V6N 4B4', 'operator': 'Revera', 'social_facility': 'nursing_home', 'addr:city': 'Vancouver'}",Crofton Manor,11.0
6,49.2242087,-122.9429583,2021-05-02T04:16:21.000-07:00,social_facility,"{'addr:province': 'BC', 'wheelchair': 'yes', 'website': 'https://www.agecare.ca/community/agecare-harmony-court', 'addr:housenumber': '7197', 'phone': '+1-604-527-3300;+1-604-527-3320', 'social_facility:for': 'senior', 'addr:street': 'Canada Way', 'operator': 'AgeCare', 'email': 'harmonycourt@agecare.ca', 'social_facility': 'nursing_home', 'addr:city': 'Burnaby'}",AgeCare Harmony Court Care Centre,11.0
7,49.2786691,-123.12646,2021-02-14T20:21:26.000-08:00,cinema,"{'addr:province': 'BC', 'website': 'http://www.thecinematheque.ca/', 'addr:housenumber': '1131', 'internet_access': 'wlan', 'phone': '+1-604-688-3456', 'old_name': 'Pacific Cinematheque', 'addr:street': 'Howe Street', 'wikidata': 'Q7122345', 'addr:postcode': 'V6Z 2L7', 'addr:city': 'Vancouver'}",The Cinematheque,10.0
8,49.2803131,-123.113161,2022-07-08T05:43:25.000-07:00,theatre,"{'addr:province': 'BC', 'wheelchair': 'yes', 'website': 'https://vancouvercivictheatres.com/venues/queen-elizabeth-theatre', 'addr:housenumber': '650', 'phone': '+1-604-665-2193', 'wikipedia': 'en:Queen Elizabeth Theatre', 'addr:street': 'Hamilton Street', 'wikidata': 'Q7270389', 'addr:postcode': 'V6B 5N6', 'addr:city': 'Vancouver'}",Queen Elizabeth Theatre,10.0
9,49.0516197,-122.3154103,2020-12-03T16:05:39.000-08:00,social_facility,"{'website': 'http://www.communitylivingbc.ca/about-us/contact/local-clbc-offices/fraser-region/abbotsford', 'alt_name': 'Community Living B.C.', 'phone': '+1-604-870-5900', 'level': '1', 'loc_name': 'CLBC', 'social_facility:for': 'disabled', 'office': 'government', 'url': 'http://www.communitylivingbc.ca', 'addr:unit': '200', 'social_facility': 'outreach'}",Community Living British Columbia,10.0
11,49.247159,-122.9752737,2021-04-30T00:33:09.000-07:00,social_facility,"{'wheelchair': 'yes', 'website': 'http://www.dania.bc.ca/residential-care/', 'addr:housenumber': '4175', 'phone': '+1-604-299-2414', 'social_facility:for': 'senior', 'addr:street': 'Norland Avenue', 'beds': '102', 'operator': 'Dania Home Society', 'email': 'info@dania.bc.ca', 'social_facility': 'nursing_home'}",Dania Home,10.0
